ID	KWICL	Keyword	KWICR	Choice 1	Choice 2	Choice 3	Selection	3-Gram Yield	2-Gram Yield	1-Gram Yield
A07686+dwdID1	lso a preparatiue against the same.	Te●ding	to teach men to lyue, and die well 	Tending	 n/a 	 n/a 		(81-2-0-0-0)	(270-23-0-0-0)	(269451-40733-1-1-1)
A07686+dwdID2	ned an estate which is incomparably	bet●●r	▪ God hauing taken his vnbodyed Spi	better	 n/a 	 n/a 		(0-0-0-0-0)	(13-0-0-0-0)	(269451-33928-3-1-1)
A07686+dwdID3	uch as once aspire to felicitie, so	tha●	presently the souldiers of death be	that	 n/a 	 n/a 		(0-0-0-0-0)	(8087-524-2-1-1)	(269451-9299-8-1-0)
A07686+dwdID4	ne did the Lorde pronounce sentence	o●	death against them. And euen as tho	on	or	of		(1-0-0-0-0)	(158-17-3-3-3)	(269451-805-22-3-0)
A07686+dwdID5	mpted but for dead men. Euen so our	firs●	parents, though (through the exceed	first	 n/a 	 n/a 		(13-0-0-0-0)	(7081-782-1-1-1)	(269451-22192-2-1-0)
A07686+dwdID6	d) but a death being estranged from	●he	life of God, & all remaine as dead,	the	she	 n/a 		(3-3-1-1-1)	(3899-113-2-2-1)	(269451-3340-12-2-0)
A07686+dwdID7	hrist (who is eternall life through	●aith)	dooth quicken his children, so ●hat	faith:	faith,	faith)		(0-0-0-0-0)	(683-87-5-2-2)	(269451-33928-20-3-1)
A07686+dwdID8	th)] dooth quicken his children, so	●hat	truly to acknowledge Christ, and ●h	that	what	 n/a 		(1-1-1-1-1)	(8087-524-3-2-1)	(269451-9299-4-2-0)
A07686+dwdID9	t] truly to acknowledge Christ, and	●hrough	faith to possesse him, is indeed ●o	through	 n/a 	 n/a 		(86-3-0-0-0)	(45961-7148-1-1-1)	(269451-40733-1-1-0)
A07686+dwdID10	h] faith to possesse him, is indeed	●o	be freed from Death, and to haue ●t	go	do	so		(6-2-0-0-0)	(386-23-5-5-5)	(269451-805-32-5-0)
A07686+dwdID11	o] be freed from Death, afnd to haue	●ternall	life. Onely in name to professe ●im	eternall	 n/a 	 n/a 		(279-41-1-1-1)	(3955-590-1-1-0)	(269451-41595-1-1-0)
A07686+dwdID12	ll] life. Onely in name to professe	●im	is the part of dead men: for whosoe	him	 n/a 	 n/a 		(8-5-0-0-0)	(112-18-1-1-1)	(269451-3340-9-1-0)
A07686+dwdID13	osoeuer beleeueth not, remaineth in	●eath	because the wrath of God tari●th vp	death	 n/a 	 n/a 		(6-0-0-0-0)	(14849-1541-1-1-1)	(269451-22192-5-1-0)
A07686+dwdID14	13:●eath:] because the wrath of God	tari●th	vpon him. He which hath not the ●on	 n/a 	 n/a 	 n/a 		(306-39-0-0-0)	(2582-434-0-0-0)	(269451-40733-1-0-0)
A07686+dwdID15	th] vpon him. He which hath not the	●onne	of God, hath not life: hereof ●aith	sonne	 n/a 	 n/a 		(439-105-1-1-1)	(43273-4126-1-1-0)	(269451-22192-9-1-0)
